Id,Salutation,FirstName,LastName,Title,Email,Phone,Fax,HomePhone,MobilePhone,Birthdate,Department,AssistantName,AssistantPhone,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry
0036g000006lkqJAAQ,Mr.,Robert,Fontana,CEO,contact+robertfontana@sdo.mygbiz.com,(226) 555-0100,(226) 555-0199,(226) 936-3140,(226) 555-0188,7/22/70,C-Level,(226) 555-0150,,16909 SE Alder St,Multnomah,OR,97233,US
0036g000006lkqLAAQ,Mr.,David,Harris,Director of Business Development,contact+davidharris@sdo.mygbiz.com,(692) 555-0100,(692) 555-0199,(692) 854-2073,(692) 555-0188,2/3/64,Business Development,(692) 555-0150,,309 8th Ave,Santa Cruz,CA,95062,US
0036g000006lkqMAAQ,Mr.,Larry,Kuchenreuther,Sales Exec,contact+larrykuchenreuther@sdo.mygbiz.com,(446) 555-0100,(446) 555-0199,(446) 310-9854,(446) 555-0188,6/3/87,Sales,(446) 555-0150,,1963 Border Ave,Los Angeles,CA,90501,US
0036g000006lkqRAAQ,Mrs.,Judy,Odom,Sales Exec,contact+judy@sdo.mygbiz.com,(689) 555-0100,(689) 555-0199,(689) 770-1060,(689) 555-0188,7/1/52,Sales,(689) 555-0150,,1984 Gufford Dr,New Hanover,NC,28403,US
0036g000006lkqSAAQ,,Jan,Perkins,CFO,contact+janperkins@sdo.mygbiz.com,(767) 555-0100,(767) 555-0199,,(767) 555-0188,5/12/28,,(767) 555-0150,,,,,,
0036g000006lkqTAAQ,Ms.,Rose,Gonzalez,SVP Marketing,contact+rosegonzalez@sdo.mygbiz.com,(776) 555-0100,(776) 555-0199,(776) 672-9389,(776) 555-0188,11/16/67,Marketing,(776) 555-0150,,4191 Tamarus St,Clark,NV,89119,US
0036g000006lkqUAAQ,Mr.,Kyle,Pearson,VP IT,contact+kylepearson@sdo.mygbiz.com,(903) 555-0100,(903) 555-0199,(903) 534-1468,(903) 555-0188,11/3/38,IT,(903) 555-0150,,310 Henry St,New York,NY,10002,US
0036g000006lkqVAAQ,Ms.,Allison,Yates,Owner,ayates@mycompany.com,(239) 555-0100,(239) 555-0199,(239) 624-0010,(239) 555-0188,4/9/50,C-Level,(239) 555-0150,,2485 Pershing Dr,San Diego,CA,92101,US
0036g000006lkqWAAQ,Mr.,Chris,Templey,EVP Business Development,contact+christempley@sdo.mygbiz.com,(874) 555-0100,(874) 555-0199,(874) 966-0932,(874) 555-0188,10/23/68,Business Development,(874) 555-0150,,26 Boot Rd,Delaware,PA,19073,US
0036g000006lkqXAAQ,,David,Homme,Product Marketing Manager,contact+davidhomme@sdo.mygbiz.com,(759) 555-0100,(759) 555-0199,,(759) 555-0188,8/28/70,,(759) 555-0150,,,,,,
0036g000006lkqYAAQ,Mr.,Thomas,Green,CFO,contact+thomasgreen@sdo.mygbiz.com,(639) 555-0100,(639) 555-0199,(639) 840-9818,(639) 555-0188,2/13/76,C-Level,(639) 555-0150,,3418 Poplar Ave,Shelby,TN,38111,US
0036g000006lkqZAAQ,Mr.,Ron,Reid,VP Consulting,contact+ronreid@sdo.mygbiz.com,(935) 555-0100,(935) 555-0199,(935) 358-9043,(935) 555-0188,1/8/48,Consulting,(935) 555-0150,,3262 47th St,San Diego,CA,92105,US
0036g000006lkqaAAA,Mr.,Peter,Foss,SVP Administration and Finance,contact+peterfoss@sdo.mygbiz.com,(453) 555-0100,(453) 555-0199,(453) 380-7332,(453) 555-0188,12/5/52,Finance,(453) 555-0150,,16909 SE Alder St,Multnomah,OR,97233,US
0036g000006lkqbAAA,,Bradley,Harmon,EVP Business Development,contact+bharmon@sdo.mygbiz.com,(261) 555-0100,(261) 555-0199,,(261) 555-0188,1/30/39,,(261) 555-0150,,,Sedgwick,,,US
0036g000006lkqcAAA,,Mike,Malmin,EVP Business Development,contact+malmin@sdo.mygbiz.com,(317) 555-0100,(317) 555-0199,,(317) 555-0188,2/7/39,,(317) 555-0150,,,Sedgwick,,,US
